team,player,position,mpg,ppg,team_ppg
UConn,Eric Reibe,C,15.0,6.8,85.0
UConn,Jayden Ross,F,16.9,4.7,85.0
UConn,Jaylin Stewart,F,17.7,4.5,85.0
UConn,Malachi Smith,G,15.0,3.5,85.0
UConn,Dwayne Koroma,F,5.6,1.5,85.0
UConn,Alec Millender,G,3.1,0.6,85.0
UConn,Jacob Furphy,G,2.5,0.5,85.0
UConn,Uroš Paunovic,G,1.0,0.2,85.0
UConn,Rrezon Elezaj,C,1.0,0.0,85.0
UMBC,Jah'Likai King,G,32.1,14.0,87.8
UMBC,DJ Armstrong Jr.,G,32.4,13.3,87.8
UMBC,Ace Valentine,G,32.6,11.9,87.8
UMBC,Caden Diggs,F,22.8,10.0,87.8
UMBC,Josh Odunowo,F,23.0,8.4,87.8
UMBC,Jose Roberto Tanchyn,F,19.2,6.5,87.8
UMBC,Daylon Dickerson,F,13.9,5.6,87.8
UMBC,Devin Ceaser,G,7.7,4.3,87.8
UMBC,Riley Jacobs,F,15.4,4.3,87.8
UMBC,Cougar Downing,G,12.4,3.9,87.8
UMBC,Paul Greene,F,7.5,2.0,87.8
UMBC,Tim Eze,F,5.7,1.8,87.8
UMBC,Jake Stout,F,3.4,1.3,87.8
UMBC,Saahil Thakkar,G,1.7,0.5,87.8
Utah State,MJ Collins Jr.,G,30.4,17.6,85.5
Utah State,Mason Falslev,G,31.9,16.1,85.5
Utah State,Karson Templin,F,18.7,9.1,85.5
Utah State,Drake Allen,G,25.2,7.7,85.5
Utah State,Kolby King,G,19.7,7.6,85.5
Utah State,Garry Clark,F,16.5,6.8,85.5
Utah State,Adlan Elamin,F,19.0,6.5,85.5
Utah State,Elijah Perryman,G,14.2,4.6,85.5
Utah State,Zach Keller,F,13.8,3.5,85.5
Utah State,Tucker Anderson,F,11.6,3.4,85.5
Utah State,Luke Kearney,F,4.0,1.7,85.5
Utah State,Jordy Barnes,G,5.5,0.9,85.5
VCU,Terrence Hill Jr.,G,24.3,14.4,90.1
VCU,Lazar Djokovic,F,27.3,13.5,90.1
VCU,Jadrian Tracey,G,22.1,9.9,90.1
VCU,Nyk Lewis,G,24.1,8.7,90.1
VCU,Brandon Jennings,G,24.6,8.7,90.1
VCU,Michael Belle,F,22.3,7.5,90.1
VCU,Barry Evans,F,26.5,7.2,90.1
VCU,Tyrell Ward,G,13.3,5.8,90.1
VCU,Ahmad Nowell,G,10.6,4.7,90.1
VCU,Jordan Tillery,G,7.2,4.5,90.1
VCU,Keyshawn Mitchell,F,11.1,3.4,90.1
VCU,Jordann Dumont,F,2.4,1.0,90.1
VCU,Christian Fermin,F,13.0,0.8,90.1
Vanderbilt,Tyler Tanner,G,33.3,19.1,98.6
Vanderbilt,Duke Miles,G,29.5,16.5,98.6
Vanderbilt,Tyler Nickel,F,30.4,13.5,98.6
Vanderbilt,AK Okereke,F,25.8,9.7,98.6
Vanderbilt,Devin McGlockton,F,25.0,9.6,98.6
Vanderbilt,Jalen Washington,C,20.9,9.1,98.6
Vanderbilt,Frankie Collins,G,20.9,7.8,98.6
Vanderbilt,Tyler Harris,F,12.7,5.5,98.6
Vanderbilt,Chandler Bing,G,14.4,3.6,98.6
Vanderbilt,Mike James,G,10.6,1.5,98.6
Vanderbilt,Jayden Leverett,C,4.0,1.0,98.6
Vanderbilt,Jaylon Dean-Vines,G,2.4,0.9,98.6
Vanderbilt,Miles Keeffe,G,1.7,0.4,98.6
Vanderbilt,Mason Nicholson,F,4.0,0.4,98.6
Vanderbilt,Coleson Messer,G,1.1,0.0,98.6
Villanova,Tyler Perkins,G,29.6,13.7,84.0
Villanova,Duke Brennan,F,30.9,12.4,84.0
Villanova,Acaden Lewis,G,30.3,12.3,84.0
Villanova,Bryce Lindsay,G,28.3,11.9,84.0
Villanova,Devin Askew,G,23.1,10.0,84.0
Villanova,Matt Hodge,F,27.6,9.2,84.0
Villanova,Malachi Palmer,G,18.2,4.4,84.0
Villanova,Chris Jeffrey,G,8.5,3.2,84.0
Villanova,Tafara Gapare,F,16.3,2.9,84.0
Villanova,Wade Chiddick,G,1.5,1.5,84.0
Villanova,Zion Stanford,G,5.1,1.3,84.0
Villanova,Braden Pierce,C,6.5,1.2,84.0
Villanova,Malcolm Flaggs,G,2.0,0.0,84.0
Virginia,Thijs De Ridder,F,27.6,15.5,84.4
Virginia,Malik Thomas,G,22.9,12.4,84.4
Virginia,Sam Lewis,G,25.4,10.8,84.4
Virginia,Chance Mallory,G,24.1,9.5,84.4
Virginia,Jacari White,G,17.3,8.8,84.4
Virginia,Johann Grunloh,C,21.1,7.2,84.4
Virginia,Ugonna Onyenso,C,18.6,6.7,84.4
Virginia,Dallin Hall,G,28.4,5.9,84.4
Virginia,Devin Tillis,F,16.3,4.3,84.4
Virginia,Elijah Gertrude,G,6.2,1.7,84.4
Virginia,Martin Carrere,G,3.9,0.8,84.4
Virginia,Carter Lang,F,2.2,0.4,84.4
Virginia,Owen Odom,G,1.0,0.4,84.4
Virginia,Desmond Roberts,G,1.2,0.0,84.4
Wisconsin,Nick Boyd,G,31.8,20.6,89.7
Wisconsin,John Blackwell,G,33.7,19.0,89.7
Wisconsin,Nolan Winter,F,31.0,13.3,89.7
Wisconsin,Austin Rapp,F,22.8,9.6,89.7
Wisconsin,Braeden Carrington,G,18.1,8.4,89.7
Wisconsin,Andrew Rohde,G,26.3,5.7,89.7
Wisconsin,Aleksas Bieliauskas,F,20.0,5.0,89.7
Wisconsin,Jack Janicki,G,16.5,2.2,89.7
Wisconsin,Hayden Jones,G,7.1,1.7,89.7
Wisconsin,Zach Kinziger,G,4.8,1.3,89.7
Wisconsin,Will Garlock,F,6.6,1.1,89.7
Wisconsin,Jack Robison,F,1.8,1.0,89.7
Wisconsin,Isaac Gard,G,1.1,0.8,89.7
Wisconsin,Riccardo Greppi,F,1.2,0.0,89.7
Wright State,Michael Cooper,G,26.2,13.4,92.6
Wright State,TJ Burch,G,24.5,12.3,92.6
Wright State,Michael Imariagbe,F,24.0,11.8,92.6
Wright State,Solomon Callaghan,G,28.1,9.9,92.6
Wright State,Dominic Pangonis,G,27.4,9.0,92.6
Wright State,Kellen Pickett,F,22.6,8.7,92.6
Wright State,Andrea Holden,F,14.3,6.3,92.6
Wright State,Logan Woods,G,18.6,5.4,92.6
Wright State,Ayden Davis,C,8.7,5.0,92.6
Wright State,Alex Bruskotter,G,8.3,4.5,92.6
Wright State,Bryan Etumnu,F,11.5,3.4,92.6
Wright State,Sam Alamutu,G,12.1,2.9,92.6
